path,class,label
Dessert/273.jpg,Dessert,2
Seafood/323.jpg,Seafood,8
Seafood/694.jpg,Seafood,8
Egg/821.jpg,Egg,3
Egg/243.jpg,Egg,3
Dessert/540.jpg,Dessert,2
Vegetable-Fruit/676.jpg,Vegetable-Fruit,10
Dairy product/385.jpg,Dairy product,1
Seafood/734.jpg,Seafood,8
Noodles-Pasta/314.jpg,Noodles-Pasta,6
Meat/86.jpg,Meat,5
Vegetable-Fruit/343.jpg,Vegetable-Fruit,10
Seafood/841.jpg,Seafood,8
Dessert/212.jpg,Dessert,2
Fried food/428.jpg,Fried food,4
Egg/71.jpg,Egg,3
Soup/500.jpg,Soup,9
Egg/84.jpg,Egg,3
Dessert/1187.jpg,Dessert,2
Meat/385.jpg,Meat,5
Dessert/1154.jpg,Dessert,2
Dessert/631.jpg,Dessert,2
Bread/236.jpg,Bread,0
Meat/1124.jpg,Meat,5
Meat/65.jpg,Meat,5
Dessert/35.jpg,Dessert,2
Vegetable-Fruit/76.jpg,Vegetable-Fruit,10
Meat/335.jpg,Meat,5
Soup/1486.jpg,Soup,9
Soup/668.jpg,Soup,9
Dessert/706.jpg,Dessert,2
Meat/1253.jpg,Meat,5
Soup/846.jpg,Soup,9
Bread/146.jpg,Bread,0
Egg/529.jpg,Egg,3
Meat/328.jpg,Meat,5
Rice/231.jpg,Rice,7
Egg/226.jpg,Egg,3
Soup/1367.jpg,Soup,9
Soup/710.jpg,Soup,9
Egg/113.jpg,Egg,3
Soup/653.jpg,Soup,9
Bread/357.jpg,Bread,0
Meat/833.jpg,Meat,5
Egg/694.jpg,Egg,3
Dairy product/228.jpg,Dairy product,1
Egg/10.jpg,Egg,3
Bread/313.jpg,Bread,0
Dessert/120.jpg,Dessert,2
Soup/1294.jpg,Soup,9
Meat/917.jpg,Meat,5
Seafood/83.jpg,Seafood,8
Dessert/766.jpg,Dessert,2
Egg/428.jpg,Egg,3
Dessert/1152.jpg,Dessert,2
Dessert/211.jpg,Dessert,2
Soup/1406.jpg,Soup,9
Meat/281.jpg,Meat,5
Bread/140.jpg,Bread,0
Bread/799.jpg,Bread,0
Egg/272.jpg,Egg,3
Rice/275.jpg,Rice,7
Soup/1336.jpg,Soup,9
Bread/50.jpg,Bread,0
Egg/779.jpg,Egg,3
Soup/1210.jpg,Soup,9
Seafood/132.jpg,Seafood,8
Soup/950.jpg,Soup,9
Dairy product/383.jpg,Dairy product,1
Soup/847.jpg,Soup,9
Dessert/188.jpg,Dessert,2
Egg/356.jpg,Egg,3
Meat/526.jpg,Meat,5
Dairy product/91.jpg,Dairy product,1
Egg/715.jpg,Egg,3
Fried food/472.jpg,Fried food,4
Soup/1292.jpg,Soup,9
Bread/384.jpg,Bread,0
Seafood/216.jpg,Seafood,8
Seafood/506.jpg,Seafood,8
Dessert/420.jpg,Dessert,2
Seafood/772.jpg,Seafood,8
Seafood/59.jpg,Seafood,8
Vegetable-Fruit/204.jpg,Vegetable-Fruit,10
Egg/319.jpg,Egg,3
Seafood/280.jpg,Seafood,8
Vegetable-Fruit/289.jpg,Vegetable-Fruit,10
Dessert/353.jpg,Dessert,2
Meat/1211.jpg,Meat,5
Seafood/606.jpg,Seafood,8
Egg/275.jpg,Egg,3
Soup/76.jpg,Soup,9
Dessert/872.jpg,Dessert,2
Bread/400.jpg,Bread,0
Seafood/175.jpg,Seafood,8
Soup/673.jpg,Soup,9
Bread/711.jpg,Bread,0
Meat/439.jpg,Meat,5
Dessert/71.jpg,Dessert,2
Egg/866.jpg,Egg,3
Dessert/1405.jpg,Dessert,2
Fried food/538.jpg,Fried food,4
Meat/311.jpg,Meat,5
Vegetable-Fruit/307.jpg,Vegetable-Fruit,10
Dessert/173.jpg,Dessert,2
Seafood/419.jpg,Seafood,8
Meat/340.jpg,Meat,5
Meat/919.jpg,Meat,5
Egg/479.jpg,Egg,3
Dessert/1028.jpg,Dessert,2
Seafood/571.jpg,Seafood,8
Fried food/605.jpg,Fried food,4
Seafood/207.jpg,Seafood,8
Fried food/136.jpg,Fried food,4
Rice/80.jpg,Rice,7
Soup/316.jpg,Soup,9
Soup/285.jpg,Soup,9
Dessert/240.jpg,Dessert,2
Bread/129.jpg,Bread,0
Dessert/640.jpg,Dessert,2
Rice/221.jpg,Rice,7
Soup/1191.jpg,Soup,9
Meat/216.jpg,Meat,5
Vegetable-Fruit/697.jpg,Vegetable-Fruit,10
Meat/1306.jpg,Meat,5
Egg/103.jpg,Egg,3
Noodles-Pasta/192.jpg,Noodles-Pasta,6
Meat/24.jpg,Meat,5
Soup/424.jpg,Soup,9
Dessert/99.jpg,Dessert,2
Soup/1274.jpg,Soup,9
Seafood/813.jpg,Seafood,8
Seafood/14.jpg,Seafood,8
Bread/367.jpg,Bread,0
Meat/204.jpg,Meat,5
Dessert/977.jpg,Dessert,2
Meat/947.jpg,Meat,5
Noodles-Pasta/365.jpg,Noodles-Pasta,6
Meat/227.jpg,Meat,5
Egg/333.jpg,Egg,3
Dairy product/318.jpg,Dairy product,1
Meat/235.jpg,Meat,5
Dessert/1410.jpg,Dessert,2
Meat/338.jpg,Meat,5
Soup/1364.jpg,Soup,9
Meat/183.jpg,Meat,5
Egg/635.jpg,Egg,3
Bread/349.jpg,Bread,0
Dessert/1439.jpg,Dessert,2
Vegetable-Fruit/406.jpg,Vegetable-Fruit,10
Bread/369.jpg,Bread,0
Egg/181.jpg,Egg,3
Dessert/988.jpg,Dessert,2
Soup/1275.jpg,Soup,9
Dessert/658.jpg,Dessert,2
Noodles-Pasta/381.jpg,Noodles-Pasta,6
Vegetable-Fruit/401.jpg,Vegetable-Fruit,10
Seafood/568.jpg,Seafood,8
Meat/1275.jpg,Meat,5
Fried food/98.jpg,Fried food,4
Soup/1084.jpg,Soup,9
Soup/501.jpg,Soup,9
Soup/390.jpg,Soup,9
Fried food/29.jpg,Fried food,4
Seafood/739.jpg,Seafood,8
Seafood/718.jpg,Seafood,8
Fried food/643.jpg,Fried food,4
Soup/771.jpg,Soup,9
Bread/568.jpg,Bread,0
Vegetable-Fruit/176.jpg,Vegetable-Fruit,10
Vegetable-Fruit/617.jpg,Vegetable-Fruit,10
Dairy product/359.jpg,Dairy product,1
Egg/163.jpg,Egg,3
Noodles-Pasta/195.jpg,Noodles-Pasta,6
Egg/656.jpg,Egg,3
Fried food/338.jpg,Fried food,4
Seafood/282.jpg,Seafood,8
Noodles-Pasta/58.jpg,Noodles-Pasta,6
Egg/558.jpg,Egg,3
Soup/731.jpg,Soup,9
Meat/1156.jpg,Meat,5
Meat/637.jpg,Meat,5
Dessert/776.jpg,Dessert,2
Dessert/265.jpg,Dessert,2
Meat/739.jpg,Meat,5
Seafood/451.jpg,Seafood,8
Soup/83.jpg,Soup,9
Bread/47.jpg,Bread,0
Seafood/727.jpg,Seafood,8
Dessert/1210.jpg,Dessert,2
Meat/362.jpg,Meat,5
Soup/223.jpg,Soup,9
Egg/785.jpg,Egg,3
Dessert/985.jpg,Dessert,2
Soup/1445.jpg,Soup,9
Meat/798.jpg,Meat,5
Rice/178.jpg,Rice,7
Dairy product/299.jpg,Dairy product,1
Dessert/1083.jpg,Dessert,2
Vegetable-Fruit/659.jpg,Vegetable-Fruit,10
Soup/392.jpg,Soup,9
Fried food/738.jpg,Fried food,4
Dessert/982.jpg,Dessert,2
Bread/375.jpg,Bread,0
Soup/407.jpg,Soup,9
Fried food/770.jpg,Fried food,4
Soup/182.jpg,Soup,9
Fried food/189.jpg,Fried food,4
Noodles-Pasta/228.jpg,Noodles-Pasta,6
Bread/34.jpg,Bread,0
Soup/1400.jpg,Soup,9
Dessert/250.jpg,Dessert,2
Bread/374.jpg,Bread,0
Bread/762.jpg,Bread,0
Noodles-Pasta/347.jpg,Noodles-Pasta,6
Seafood/326.jpg,Seafood,8
Dessert/98.jpg,Dessert,2
Fried food/145.jpg,Fried food,4
Soup/569.jpg,Soup,9
Fried food/549.jpg,Fried food,4
Fried food/497.jpg,Fried food,4
Dessert/115.jpg,Dessert,2
Dessert/1120.jpg,Dessert,2
Dessert/228.jpg,Dessert,2
Dessert/933.jpg,Dessert,2
Egg/57.jpg,Egg,3
Soup/143.jpg,Soup,9
Dessert/590.jpg,Dessert,2
Seafood/277.jpg,Seafood,8
Noodles-Pasta/374.jpg,Noodles-Pasta,6
Dessert/1019.jpg,Dessert,2
Egg/723.jpg,Egg,3
Bread/416.jpg,Bread,0
Fried food/804.jpg,Fried food,4
Dessert/75.jpg,Dessert,2
Dessert/1390.jpg,Dessert,2
Meat/131.jpg,Meat,5
Dairy product/82.jpg,Dairy product,1
Vegetable-Fruit/439.jpg,Vegetable-Fruit,10
Soup/66.jpg,Soup,9
Soup/458.jpg,Soup,9
Egg/131.jpg,Egg,3
Soup/237.jpg,Soup,9
Soup/867.jpg,Soup,9
Dessert/577.jpg,Dessert,2
Vegetable-Fruit/136.jpg,Vegetable-Fruit,10
Dessert/594.jpg,Dessert,2
Bread/454.jpg,Bread,0
Fried food/823.jpg,Fried food,4
Egg/827.jpg,Egg,3
Meat/1209.jpg,Meat,5
Vegetable-Fruit/400.jpg,Vegetable-Fruit,10
Fried food/668.jpg,Fried food,4
Bread/222.jpg,Bread,0
Meat/411.jpg,Meat,5
Dessert/522.jpg,Dessert,2
Meat/1096.jpg,Meat,5
Bread/728.jpg,Bread,0
Soup/1457.jpg,Soup,9
Dessert/325.jpg,Dessert,2
Fried food/515.jpg,Fried food,4
Soup/644.jpg,Soup,9
Meat/1094.jpg,Meat,5
Egg/809.jpg,Egg,3
Bread/922.jpg,Bread,0
Egg/453.jpg,Egg,3
Noodles-Pasta/151.jpg,Noodles-Pasta,6
Seafood/192.jpg,Seafood,8
Egg/537.jpg,Egg,3
Soup/1027.jpg,Soup,9
Dairy product/78.jpg,Dairy product,1
Dairy product/4.jpg,Dairy product,1
Rice/242.jpg,Rice,7
Dessert/1094.jpg,Dessert,2
Dairy product/104.jpg,Dairy product,1
Egg/507.jpg,Egg,3
Soup/1450.jpg,Soup,9
Egg/311.jpg,Egg,3
Meat/809.jpg,Meat,5
Vegetable-Fruit/294.jpg,Vegetable-Fruit,10
Bread/134.jpg,Bread,0
Egg/380.jpg,Egg,3
Fried food/195.jpg,Fried food,4
Egg/905.jpg,Egg,3
Fried food/678.jpg,Fried food,4
Meat/1131.jpg,Meat,5
Meat/558.jpg,Meat,5
Soup/751.jpg,Soup,9
Dairy product/360.jpg,Dairy product,1
Dairy product/77.jpg,Dairy product,1
Soup/837.jpg,Soup,9
Meat/427.jpg,Meat,5
Vegetable-Fruit/25.jpg,Vegetable-Fruit,10
Meat/713.jpg,Meat,5
Noodles-Pasta/62.jpg,Noodles-Pasta,6
Dessert/1060.jpg,Dessert,2
Soup/105.jpg,Soup,9
Meat/572.jpg,Meat,5
Soup/940.jpg,Soup,9
Seafood/562.jpg,Seafood,8
Egg/500.jpg,Egg,3
Egg/630.jpg,Egg,3
Seafood/778.jpg,Seafood,8
Bread/424.jpg,Bread,0
Dessert/1178.jpg,Dessert,2
Noodles-Pasta/79.jpg,Noodles-Pasta,6
Dairy product/372.jpg,Dairy product,1
Noodles-Pasta/29.jpg,Noodles-Pasta,6
Meat/19.jpg,Meat,5
Meat/304.jpg,Meat,5
Fried food/600.jpg,Fried food,4
Egg/556.jpg,Egg,3
Dessert/1112.jpg,Dessert,2
Bread/203.jpg,Bread,0
Rice/76.jpg,Rice,7
Egg/391.jpg,Egg,3
Noodles-Pasta/214.jpg,Noodles-Pasta,6
Dessert/718.jpg,Dessert,2
Noodles-Pasta/408.jpg,Noodles-Pasta,6
Meat/819.jpg,Meat,5
Soup/46.jpg,Soup,9
Dessert/1289.jpg,Dessert,2
Bread/371.jpg,Bread,0
Meat/277.jpg,Meat,5
Seafood/547.jpg,Seafood,8
Soup/621.jpg,Soup,9
Soup/170.jpg,Soup,9
Dessert/939.jpg,Dessert,2
Dessert/1001.jpg,Dessert,2
Bread/760.jpg,Bread,0
Fried food/627.jpg,Fried food,4
Meat/317.jpg,Meat,5
Noodles-Pasta/201.jpg,Noodles-Pasta,6
Dairy product/376.jpg,Dairy product,1
Soup/927.jpg,Soup,9
Meat/1063.jpg,Meat,5
Seafood/724.jpg,Seafood,8
Dessert/1474.jpg,Dessert,2
Meat/81.jpg,Meat,5
Egg/979.jpg,Egg,3
Vegetable-Fruit/47.jpg,Vegetable-Fruit,10
Dessert/962.jpg,Dessert,2
Egg/720.jpg,Egg,3
Bread/764.jpg,Bread,0
Fried food/595.jpg,Fried food,4
Seafood/360.jpg,Seafood,8
Bread/877.jpg,Bread,0
Meat/1118.jpg,Meat,5
Seafood/17.jpg,Seafood,8
Soup/746.jpg,Soup,9
Soup/670.jpg,Soup,9
Dessert/471.jpg,Dessert,2
Vegetable-Fruit/157.jpg,Vegetable-Fruit,10
Dessert/1358.jpg,Dessert,2
Soup/17.jpg,Soup,9
Meat/986.jpg,Meat,5
Egg/70.jpg,Egg,3
Meat/1060.jpg,Meat,5
Bread/758.jpg,Bread,0
Bread/559.jpg,Bread,0
Egg/288.jpg,Egg,3
Dessert/412.jpg,Dessert,2
Meat/506.jpg,Meat,5
Seafood/785.jpg,Seafood,8
Egg/366.jpg,Egg,3
Dessert/349.jpg,Dessert,2
Dessert/472.jpg,Dessert,2
Egg/379.jpg,Egg,3
Egg/58.jpg,Egg,3
Egg/942.jpg,Egg,3
Soup/1044.jpg,Soup,9
Dairy product/32.jpg,Dairy product,1
Dessert/33.jpg,Dessert,2
Bread/192.jpg,Bread,0
Bread/285.jpg,Bread,0
Bread/65.jpg,Bread,0
Bread/359.jpg,Bread,0
Noodles-Pasta/439.jpg,Noodles-Pasta,6
Vegetable-Fruit/188.jpg,Vegetable-Fruit,10
Noodles-Pasta/153.jpg,Noodles-Pasta,6
Noodles-Pasta/141.jpg,Noodles-Pasta,6
Vegetable-Fruit/137.jpg,Vegetable-Fruit,10
Soup/1412.jpg,Soup,9
Dessert/1419.jpg,Dessert,2
Vegetable-Fruit/427.jpg,Vegetable-Fruit,10
Egg/892.jpg,Egg,3
Bread/6.jpg,Bread,0
Dessert/223.jpg,Dessert,2
Bread/204.jpg,Bread,0
Noodles-Pasta/95.jpg,Noodles-Pasta,6
Meat/532.jpg,Meat,5
Dessert/1449.jpg,Dessert,2
Dairy product/222.jpg,Dairy product,1
Bread/171.jpg,Bread,0
Meat/832.jpg,Meat,5
Soup/33.jpg,Soup,9
Bread/754.jpg,Bread,0
Meat/508.jpg,Meat,5
Egg/647.jpg,Egg,3
Meat/455.jpg,Meat,5
Bread/414.jpg,Bread,0
Bread/214.jpg,Bread,0
Dessert/564.jpg,Dessert,2
Seafood/312.jpg,Seafood,8
Vegetable-Fruit/426.jpg,Vegetable-Fruit,10
Egg/978.jpg,Egg,3
Egg/745.jpg,Egg,3
Meat/570.jpg,Meat,5
Soup/1036.jpg,Soup,9
Dessert/1142.jpg,Dessert,2
Seafood/700.jpg,Seafood,8
Soup/597.jpg,Soup,9
Meat/378.jpg,Meat,5
Vegetable-Fruit/395.jpg,Vegetable-Fruit,10
Bread/420.jpg,Bread,0
Dessert/1274.jpg,Dessert,2
Egg/824.jpg,Egg,3
Meat/50.jpg,Meat,5
Meat/712.jpg,Meat,5
Seafood/438.jpg,Seafood,8
Egg/306.jpg,Egg,3
Fried food/521.jpg,Fried food,4
Soup/625.jpg,Soup,9
Rice/262.jpg,Rice,7
Seafood/325.jpg,Seafood,8
Dessert/1032.jpg,Dessert,2
Seafood/658.jpg,Seafood,8
Bread/309.jpg,Bread,0
Soup/750.jpg,Soup,9
Vegetable-Fruit/185.jpg,Vegetable-Fruit,10
Vegetable-Fruit/384.jpg,Vegetable-Fruit,10
Egg/390.jpg,Egg,3
Soup/217.jpg,Soup,9
Dessert/1044.jpg,Dessert,2
Soup/1458.jpg,Soup,9
Meat/1116.jpg,Meat,5
Fried food/57.jpg,Fried food,4
Meat/738.jpg,Meat,5
Fried food/626.jpg,Fried food,4
Noodles-Pasta/321.jpg,Noodles-Pasta,6
Meat/60.jpg,Meat,5
Soup/47.jpg,Soup,9
Egg/718.jpg,Egg,3
Fried food/251.jpg,Fried food,4
Meat/1161.jpg,Meat,5
Bread/572.jpg,Bread,0
Dairy product/280.jpg,Dairy product,1
Dessert/655.jpg,Dessert,2
Dessert/722.jpg,Dessert,2
Fried food/255.jpg,Fried food,4
Meat/424.jpg,Meat,5
Meat/489.jpg,Meat,5
Soup/1360.jpg,Soup,9
Dessert/78.jpg,Dessert,2
Egg/538.jpg,Egg,3
Dairy product/188.jpg,Dairy product,1
Fried food/8.jpg,Fried food,4
Dessert/1017.jpg,Dessert,2
Soup/450.jpg,Soup,9
Egg/8.jpg,Egg,3
Egg/94.jpg,Egg,3
Bread/97.jpg,Bread,0
Vegetable-Fruit/538.jpg,Vegetable-Fruit,10
Meat/649.jpg,Meat,5
Noodles-Pasta/112.jpg,Noodles-Pasta,6
Rice/142.jpg,Rice,7
Bread/467.jpg,Bread,0
Egg/880.jpg,Egg,3
Rice/163.jpg,Rice,7
Egg/164.jpg,Egg,3
Noodles-Pasta/136.jpg,Noodles-Pasta,6
Egg/945.jpg,Egg,3
Dessert/702.jpg,Dessert,2
Soup/728.jpg,Soup,9
Dessert/753.jpg,Dessert,2
Dessert/697.jpg,Dessert,2
Meat/974.jpg,Meat,5
Soup/1201.jpg,Soup,9
Fried food/787.jpg,Fried food,4
Vegetable-Fruit/106.jpg,Vegetable-Fruit,10
Meat/1294.jpg,Meat,5
Egg/606.jpg,Egg,3
Meat/539.jpg,Meat,5
Soup/256.jpg,Soup,9
Egg/649.jpg,Egg,3
Meat/12.jpg,Meat,5
Bread/773.jpg,Bread,0
Egg/703.jpg,Egg,3
Dessert/586.jpg,Dessert,2
Vegetable-Fruit/8.jpg,Vegetable-Fruit,10
Soup/1102.jpg,Soup,9
Soup/346.jpg,Soup,9
Seafood/276.jpg,Seafood,8
Soup/860.jpg,Soup,9
Vegetable-Fruit/501.jpg,Vegetable-Fruit,10
Seafood/201.jpg,Seafood,8
Egg/985.jpg,Egg,3
Meat/1163.jpg,Meat,5
Egg/882.jpg,Egg,3
Seafood/651.jpg,Seafood,8
Dessert/259.jpg,Dessert,2
Soup/1372.jpg,Soup,9
Dairy product/18.jpg,Dairy product,1
Dessert/187.jpg,Dessert,2
Dessert/118.jpg,Dessert,2
Meat/1251.jpg,Meat,5
Dessert/1384.jpg,Dessert,2
Vegetable-Fruit/622.jpg,Vegetable-Fruit,10
Soup/1237.jpg,Soup,9
Noodles-Pasta/205.jpg,Noodles-Pasta,6
Vegetable-Fruit/662.jpg,Vegetable-Fruit,10
Fried food/293.jpg,Fried food,4
Seafood/500.jpg,Seafood,8
Soup/1408.jpg,Soup,9
Dessert/7.jpg,Dessert,2
Meat/1220.jpg,Meat,5
Dairy product/422.jpg,Dairy product,1
Egg/693.jpg,Egg,3
Rice/117.jpg,Rice,7
Bread/644.jpg,Bread,0
Noodles-Pasta/229.jpg,Noodles-Pasta,6
Fried food/482.jpg,Fried food,4
Fried food/163.jpg,Fried food,4
Meat/1150.jpg,Meat,5
Soup/880.jpg,Soup,9
Fried food/262.jpg,Fried food,4
Egg/651.jpg,Egg,3
Noodles-Pasta/250.jpg,Noodles-Pasta,6
Egg/433.jpg,Egg,3
Meat/1039.jpg,Meat,5
Meat/276.jpg,Meat,5
Fried food/284.jpg,Fried food,4
Bread/982.jpg,Bread,0
Vegetable-Fruit/516.jpg,Vegetable-Fruit,10
Soup/98.jpg,Soup,9
Bread/289.jpg,Bread,0
Seafood/324.jpg,Seafood,8
Bread/684.jpg,Bread,0
Dessert/755.jpg,Dessert,2
Vegetable-Fruit/410.jpg,Vegetable-Fruit,10
Egg/309.jpg,Egg,3
Fried food/355.jpg,Fried food,4
Bread/604.jpg,Bread,0
Fried food/512.jpg,Fried food,4
Soup/463.jpg,Soup,9
Rice/165.jpg,Rice,7
Soup/732.jpg,Soup,9
Dessert/1038.jpg,Dessert,2
Bread/930.jpg,Bread,0
Dessert/1468.jpg,Dessert,2
Fried food/38.jpg,Fried food,4
Vegetable-Fruit/225.jpg,Vegetable-Fruit,10
Bread/589.jpg,Bread,0
Soup/142.jpg,Soup,9
Dessert/367.jpg,Dessert,2
Fried food/102.jpg,Fried food,4
Egg/786.jpg,Egg,3
Dessert/300.jpg,Dessert,2
Meat/364.jpg,Meat,5
Bread/352.jpg,Bread,0
Egg/742.jpg,Egg,3
Soup/292.jpg,Soup,9
Meat/771.jpg,Meat,5
Bread/8.jpg,Bread,0
Dessert/286.jpg,Dessert,2
Meat/694.jpg,Meat,5
Dairy product/399.jpg,Dairy product,1
Seafood/660.jpg,Seafood,8
Noodles-Pasta/379.jpg,Noodles-Pasta,6
Fried food/237.jpg,Fried food,4
Soup/491.jpg,Soup,9
Egg/856.jpg,Egg,3
Seafood/2.jpg,Seafood,8
Soup/1176.jpg,Soup,9
Bread/835.jpg,Bread,0
Seafood/689.jpg,Seafood,8
Dairy product/103.jpg,Dairy product,1
Seafood/352.jpg,Seafood,8
Soup/159.jpg,Soup,9
Dessert/1465.jpg,Dessert,2
Dessert/27.jpg,Dessert,2
Dessert/633.jpg,Dessert,2
Seafood/116.jpg,Seafood,8
Seafood/118.jpg,Seafood,8
Dessert/527.jpg,Dessert,2
Vegetable-Fruit/556.jpg,Vegetable-Fruit,10
Meat/950.jpg,Meat,5
Soup/358.jpg,Soup,9
Dessert/218.jpg,Dessert,2
Rice/199.jpg,Rice,7
Vegetable-Fruit/80.jpg,Vegetable-Fruit,10
Soup/1114.jpg,Soup,9
Egg/439.jpg,Egg,3
Bread/398.jpg,Bread,0
Bread/905.jpg,Bread,0
Fried food/587.jpg,Fried food,4
Bread/928.jpg,Bread,0
Seafood/99.jpg,Seafood,8
Soup/664.jpg,Soup,9
Dairy product/85.jpg,Dairy product,1
Dessert/200.jpg,Dessert,2
Vegetable-Fruit/112.jpg,Vegetable-Fruit,10
Seafood/607.jpg,Seafood,8
Dessert/907.jpg,Dessert,2
Seafood/673.jpg,Seafood,8
Vegetable-Fruit/541.jpg,Vegetable-Fruit,10
Bread/501.jpg,Bread,0
Dessert/513.jpg,Dessert,2
Dessert/517.jpg,Dessert,2
Egg/257.jpg,Egg,3
Dessert/622.jpg,Dessert,2
Egg/432.jpg,Egg,3
Bread/419.jpg,Bread,0
Soup/339.jpg,Soup,9
Dessert/864.jpg,Dessert,2
Vegetable-Fruit/166.jpg,Vegetable-Fruit,10
